asset,empresa,data,abertura,fechamento
PETR4,Petrobras,2024-06-14,35.49,34.68
PETR4,Petrobras,2024-06-13,35.9,35.46
PETR4,Petrobras,2024-06-12,36.95,35.82
PETR4,Petrobras,2024-06-11,36.86,36.71
PETR4,Petrobras,2024-06-10,36.25,36.55
PETR4,Petrobras,2024-06-07,37.26,36.01
PETR4,Petrobras,2024-06-06,37.31,37.41
PETR4,Petrobras,2024-06-05,37.29,37.24
PETR4,Petrobras,2024-06-04,37.43,37.19
PETR4,Petrobras,2024-06-03,37.85,37.61
PETR4,Petrobras,2024-05-31,36.97,37.81
PETR4,Petrobras,2024-05-29,36.76,36.8
PETR4,Petrobras,2024-05-28,36.5,36.85
PETR4,Petrobras,2024-05-27,35.79,36.08
PETR4,Petrobras,2024-05-24,36.13,35.69
PETR4,Petrobras,2024-05-23,36.5,35.88
PETR4,Petrobras,2024-05-22,35.58,36.24
PETR4,Petrobras,2024-05-21,35.86,35.75
PETR4,Petrobras,2024-05-20,35.8,35.82
PETR4,Petrobras,2024-05-17,36.41,35.76
PETR4,Petrobras,2024-05-16,37.33,36.37
PETR4,Petrobras,2024-05-15,36.65,37.43
PETR4,Petrobras,2024-05-14,39.73,39.84
PETR4,Petrobras,2024-05-13,40.69,40.57
PETR4,Petrobras,2024-05-10,40.78,40.53
PETR4,Petrobras,2024-05-09,40.02,40.62
PETR4,Petrobras,2024-05-08,39.33,40.23
PETR4,Petrobras,2024-05-07,39.14,39.62
PETR4,Petrobras,2024-05-06,38.86,39.15
PETR4,Petrobras,2024-05-03,39.66,38.88
PETR4,Petrobras,2024-05-02,39.48,39.41
PETR4,Petrobras,2024-04-30,39.24,39.26
PETR4,Petrobras,2024-04-29,38.76,39.38
PETR4,Petrobras,2024-04-26,38.58,38.69
PETR4,Petrobras,2024-04-25,37.65,38.39
PETR4,Petrobras,2024-04-24,37.78,37.49
PETR4,Petrobras,2024-04-23,37.65,37.66
PETR4,Petrobras,2024-04-22,37.06,37.74
PETR4,Petrobras,2024-04-19,36.42,36.85
PETR4,Petrobras,2024-04-18,36.37,36.24
PETR4,Petrobras,2024-04-17,35.91,36.17
PETR4,Petrobras,2024-04-16,35.47,35.91
PETR4,Petrobras,2024-04-15,35.41,35.75
PETR4,Petrobras,2024-04-12,36.12,35.41
PETR4,Petrobras,2024-04-11,36.01,35.74
PETR4,Petrobras,2024-04-10,35.22,36
PETR4,Petrobras,2024-04-09,35.37,35.22
PETR4,Petrobras,2024-04-08,34.58,35.13
PETR4,Petrobras,2024-04-05,34.46,34.65
PETR4,Petrobras,2024-04-04,34.98,34.45
VALE3,Vale S.A.,2024-06-14,60.85,60.62
VALE3,Vale S.A.,2024-06-13,60.32,60.83
VALE3,Vale S.A.,2024-06-12,61.16,60.14
VALE3,Vale S.A.,2024-06-11,60.4,60.98
VALE3,Vale S.A.,2024-06-10,60.6,61.07
VALE3,Vale S.A.,2024-06-07,60.69,60.41
VALE3,Vale S.A.,2024-06-06,60.77,61.21
VALE3,Vale S.A.,2024-06-05,61.1,60.37
VALE3,Vale S.A.,2024-06-04,61.39,61.24
VALE3,Vale S.A.,2024-06-03,62.84,61.87
VALE3,Vale S.A.,2024-05-31,62.89,63.2
VALE3,Vale S.A.,2024-05-29,63.44,63.24
VALE3,Vale S.A.,2024-05-28,65.28,63.89
VALE3,Vale S.A.,2024-05-27,64.91,65.3
VALE3,Vale S.A.,2024-05-24,65,65.08
VALE3,Vale S.A.,2024-05-23,65.22,65.05
VALE3,Vale S.A.,2024-05-22,66,65.44
VALE3,Vale S.A.,2024-05-21,66.75,65.96
VALE3,Vale S.A.,2024-05-20,66.14,66.15
VALE3,Vale S.A.,2024-05-17,65.25,66.18
VALE3,Vale S.A.,2024-05-16,64.98,64.91
VALE3,Vale S.A.,2024-05-15,64.45,64.44
VALE3,Vale S.A.,2024-05-14,64.47,64.63
VALE3,Vale S.A.,2024-05-13,64.7,64.67
VALE3,Vale S.A.,2024-05-10,64.75,64.29
VALE3,Vale S.A.,2024-05-09,63.9,64.51
VALE3,Vale S.A.,2024-05-08,63.65,63.99
VALE3,Vale S.A.,2024-05-07,64.75,64.58
VALE3,Vale S.A.,2024-05-06,64.22,64.18
VALE3,Vale S.A.,2024-05-03,64.17,63.99
VALE3,Vale S.A.,2024-05-02,63.7,63.92
VALE3,Vale S.A.,2024-04-30,63.5,63.29
VALE3,Vale S.A.,2024-04-29,62.88,63.9
VALE3,Vale S.A.,2024-04-26,62.6,62.74
VALE3,Vale S.A.,2024-04-25,62.68,62.22
VALE3,Vale S.A.,2024-04-24,63.56,63.56
VALE3,Vale S.A.,2024-04-23,62.66,62.78
VALE3,Vale S.A.,2024-04-22,63.03,63.33
VALE3,Vale S.A.,2024-04-19,62.24,63.36
VALE3,Vale S.A.,2024-04-18,62.69,62.34
VALE3,Vale S.A.,2024-04-17,63.04,62.11
VALE3,Vale S.A.,2024-04-16,61.13,61.44
VALE3,Vale S.A.,2024-04-15,62.3,61.99
VALE3,Vale S.A.,2024-04-12,62.8,61.63
VALE3,Vale S.A.,2024-04-11,61.79,61.86
VALE3,Vale S.A.,2024-04-10,62.33,61.6
VALE3,Vale S.A.,2024-04-09,63.63,62.55
VALE3,Vale S.A.,2024-04-08,61.1,62.97
VALE3,Vale S.A.,2024-04-05,60.28,59.71
VALE3,Vale S.A.,2024-04-04,60.9,60.37
